assunto,codigo,codigo_pai,dispositivo_legal,artigo,alteracoes,glossario,ods,data_publicacao,data_alteracao,data_inativacao,data_reativacao,nivel_visual,fonte,instancia,caminho_codigos,caminho_assuntos
DIREITO À EDUCAÇÃO,12775,,,,,,,,,,,1,78_Tabela_Assuntos_Justica_Federal_1_Grau.xls,Justiça Federal 1º Grau,12775,DIREITO À EDUCAÇÃO
Acesso,12795,12775,CF; LDB,,,Dispõe sobre o acesso à educação;,"ODS 16 - Paz, justiça e instituições eficazes",2020-09-23 00:00:00,2021-07-14 11:18:51,,,1,78_Tabela_Assuntos_Justica_Federal_1_Grau.xls,Justiça Federal 1º Grau,12775 > 12795,DIREITO À EDUCAÇÃO > Acesso
Acesso sem Conclusão do Ensino Médio,12805,12795,LDB,"44, II",glossario;,Dispõe sobre o acesso ao ensino superior dos estudantes que ainda não concluiram o ensino médio,"ODS 4 - Educação de qualidade; ODS 16 - Paz, justiça e instituições eficazes",2020-09-23 00:00:00,2021-07-14 11:13:51,,,2,78_Tabela_Assuntos_Justica_Federal_1_Grau.xls,Justiça Federal 1º Grau,12775 > 12795 > 12805,DIREITO À EDUCAÇÃO > Acesso > Acesso sem Conclusão do Ensino Médio
Ciência Sem Fronteiras,14177,12795,Lei 9394/1996; CF,"53, V e 208",,"Demandas em que se discute a exigência de apresentação do comprovante de conclusão do curso de ensino médio no ato da matrícula em Instituição de Ensino Superior, ou prazo para sua postergação.","ODS 4 - Educação de qualidade; ODS 16 - Paz, justiça e instituições eficazes",2021-01-18 00:00:00,,,,2,78_Tabela_Assuntos_Justica_Federal_1_Grau.xls,Justiça Federal 1º Grau,12775 > 12795 > 14177,DIREITO À EDUCAÇÃO > Acesso > Ciência Sem Fronteiras
Cobrança de Taxa de Matrícula,12808,12795,Lei 9394/1996. CF,"Art. 53, V; 206, IV e 208",glossario;,"Classificar demandas nas quais se discute a possibilidade de instituições públicas de ensino superior cobrarem taxas tais como taxa de matrícula, taxa para emissão de diploma, taxa para emissão de certificado de conclusão de curso e outras similares.","ODS 16 - Paz, justiça e instituições eficazes",2020-09-23 00:00:00,2021-01-18 13:09:35,,,2,78_Tabela_Assuntos_Justica_Federal_1_Grau.xls,Justiça Federal 1º Grau,12775 > 12795 > 12808,DIREITO À EDUCAÇÃO > Acesso > Cobrança de Taxa de Matrícula
Convalidação de Estudos e Reconhecimento de Diploma,12806,12795,LDB,"art. 48, caput, §1º, §3º, 53, VI e 80, §2º",glossario;,Dispõe sobre o reconhecimento de diplomas que terão validade nacional como prova de formação em pós-graduação,"ODS 4 - Educação de qualidade; ODS 16 - Paz, justiça e instituições eficazes",2020-09-23 00:00:00,2021-07-14 11:13:20,,,2,78_Tabela_Assuntos_Justica_Federal_1_Grau.xls,Justiça Federal 1º Grau,12775 > 12795 > 12806,DIREITO À EDUCAÇÃO > Acesso > Convalidação de Estudos e Reconhecimento de Diploma
Cota para Ingresso - Ações Afirmativas,12809,12795,Lei 12.711/2012,,glossario;,"Dispõe sobre a reserva de vagas para estudantes que cursaram integralmente o ensino médio em escolas públicas, oriundos de famílias com renda igual ou inferior a 1,5 salário-mínimos, aos autodeclarados pretos, pardos e indígenas e às pessoas com deficiência","ODS 4 - Educação de qualidade; ODS 16 - Paz, justiça e instituições eficazes",2020-09-23 00:00:00,2021-07-14 11:12:53,,,2,78_Tabela_Assuntos_Justica_Federal_1_Grau.xls,Justiça Federal 1º Grau,12775 > 12795 > 12809,DIREITO À EDUCAÇÃO > Acesso > Cota para Ingresso - Ações Afirmativas
Itinerários Formativos,12810,12795,LDB,,glossario;,DDispõe sobre a composição de itinerários formativos,"ODS 4 - Educação de qualidade; ODS 16 - Paz, justiça e instituições eficazes",2020-09-23 00:00:00,2021-07-14 11:12:36,,,2,78_Tabela_Assuntos_Justica_Federal_1_Grau.xls,Justiça Federal 1º Grau,12775 > 12795 > 12810,DIREITO À EDUCAÇÃO > Acesso > Itinerários Formativos
Formação Técnica e Profissional,12910,12810,CF; LDB,"36, V",glossario;,Dispõe sobre a formação técnica e profissional,"ODS 4 - Educação de qualidade; ODS 16 - Paz, justiça e instituições eficazes",2020-09-23 00:00:00,2021-07-14 11:12:05,,,3,78_Tabela_Assuntos_Justica_Federal_1_Grau.xls,Justiça Federal 1º Grau,12775 > 12795 > 12810 > 12910,DIREITO À EDUCAÇÃO > Acesso > Itinerários Formativos > Formação Técnica e Profissional
Itinerários Formativos do Ensino Médio,12911,12810,LDB,Art. 36,glossario;,DDispõe sobre a composição de itinerários formativos na educação do ensino médio,"ODS 4 - Educação de qualidade; ODS 16 - Paz, justiça e instituições eficazes",2020-10-01 00:00:00,2021-07-14 11:11:43,,,3,78_Tabela_Assuntos_Justica_Federal_1_Grau.xls,Justiça Federal 1º Grau,12775 > 12795 > 12810 > 12911,DIREITO À EDUCAÇÃO > Acesso > Itinerários Formativos > Itinerários Formativos do Ensino Médio
