documento,codigo,codigo_pai,data_publicacao,data_alteracao,data_inativacao,data_reativacao,nivel_visual,tipo_item,fonte,caminho_codigos,caminho_rotulos
Ações processuais,3,1,2021-01-11 00:00:00,,,,1,D,78_Tabela_Documentos_Processuais_Impressao.sql,1 > 3,1 > Ações processuais
Acordo,11,3,2021-01-11 00:00:00,,,,2,D,78_Tabela_Documentos_Processuais_Impressao.sql,1 > 3 > 11,1 > Ações processuais > Acordo
Acordo (Outros),143,11,2021-01-11 00:00:00,,,,3,D,78_Tabela_Documentos_Processuais_Impressao.sql,1 > 3 > 11 > 143,1 > Ações processuais > Acordo > Acordo (Outros)
Acordo de Divórcio,14274,11,2021-03-23 00:00:00,,,,3,D,78_Tabela_Documentos_Processuais_Impressao.sql,1 > 3 > 11 > 14274,1 > Ações processuais > Acordo > Acordo de Divórcio
Acordo de Não-Persecução Penal,142,11,2021-01-11 00:00:00,,,,3,D,78_Tabela_Documentos_Processuais_Impressao.sql,1 > 3 > 11 > 142,1 > Ações processuais > Acordo > Acordo de Não-Persecução Penal
Acordo Extrajudicial,14307,11,2021-03-23 00:00:00,,,,3,D,78_Tabela_Documentos_Processuais_Impressao.sql,1 > 3 > 11 > 14307,1 > Ações processuais > Acordo > Acordo Extrajudicial
Acordo Resp. Parentais,14275,11,2021-03-23 00:00:00,,,,3,D,78_Tabela_Documentos_Processuais_Impressao.sql,1 > 3 > 11 > 14275,1 > Ações processuais > Acordo > Acordo Resp. Parentais
Aditamento,7,3,2021-01-11 00:00:00,,,,2,D,78_Tabela_Documentos_Processuais_Impressao.sql,1 > 3 > 7,1 > Ações processuais > Aditamento
Aditamento (Outros),139,7,2021-01-11 00:00:00,,,,3,D,78_Tabela_Documentos_Processuais_Impressao.sql,1 > 3 > 7 > 139,1 > Ações processuais > Aditamento > Aditamento (Outros)
Aditamento à Denúncia,54,7,2021-01-11 00:00:00,,,,3,D,78_Tabela_Documentos_Processuais_Impressao.sql,1 > 3 > 7 > 54,1 > Ações processuais > Aditamento > Aditamento à Denúncia
Aditamento à Inicial,138,7,2021-01-11 00:00:00,,,,3,D,78_Tabela_Documentos_Processuais_Impressao.sql,1 > 3 > 7 > 138,1 > Ações processuais > Aditamento > Aditamento à Inicial
