movimento_nome,codigo,codigo_pai,complemento,movimento,visibilidade_externa,dispositivo_legal,artigo,alteracoes,glossario,data_publicacao,data_alteracao,data_inativacao,data_reativacao,nivel_visual,tipo_item,fonte,caminho_codigos,caminho_rotulos
Cooperação Judiciária,15185,1,,em cooperação judiciária,Sim,CPC e Resolução CNJ nº 350/2020,"67 a 69 (CPC); 1º a 24 (Res 350, CNJ)",,"A cooperação judiciária permite a interação entre juízos ou entre órgão judiciário e instituição externa, pública ou privada, para a prática de atos processuais e/ou de administração da justiça, nos termos dos arts. 67 a 69 do CPC e da Resolução n. 350/2020 do Conselho Nacional de Justiça. O movimento processual “Cooperação Judiciária” deve ser utilizado de forma complementar, associado ao movimento relativo ao ato processual praticado, que será objeto da cooperação. CPC, Art. 67. Aos órgãos do Poder Judiciário, estadual ou federal, especializado ou comum, em todas as instâncias e graus de jurisdição, inclusive aos tribunais superiores, incumbe o dever de recíproca cooperação, por meio de seus magistrados e servidores. Art. 68. Os juízos poderão formular entre si pedido de cooperação para prática de qualquer ato processual. Art. 69. O pedido de cooperação jurisdicional deve ser prontamente atendido, prescinde de forma específica e pode ser executado como: I - auxílio direto; II - reunião ou apensamento de processos; III - prestação de informações; IV - atos concertados entre os juízes cooperantes. § 1º As cartas de ordem, precatória e arbitral seguirão o regime previsto neste Código. § 2º Os atos concertados entre os juízes cooperantes poderão consistir, além de outros, no estabelecimento de procedimento para: I - a prática de citação, intimação ou notificação de ato; II - a obtenção e apresentação de provas e a coleta de depoimentos; III - a efetivação de tutela provisória; IV - a efetivação de medidas e providências para recuperação e preservação de empresas; V - a facilitação de habilitação de créditos na falência e na recuperação judicial; VI - a centralização de processos repetitivos; VII - a execução de decisão jurisdicional. § 3º O pedido de cooperação judiciária pode ser realizado entre órgãos jurisdicionais de diferentes ramos do Poder Judiciário.",2022-11-28 11:43:07,,,,1,M,78_Tabela_Movimentos_STJ.sql,1 > 15185,1 > Cooperação Judiciária
Decisão,3,1,,Decisão ou Despacho,Sim,,,,"Art. 162. Os atos do juiz consistirão em sentenças, decisões interlocutórias e despachos. § 1o [...] § 2o Decisão interlocutória é o ato pelo qual o juiz, no curso do processo, resolve questão incidente. [...]",2008-09-30 15:52:47,2009-06-08 17:53:52,,,1,M,78_Tabela_Movimentos_STJ.sql,1 > 3,1 > Decisão
Acolhimento de Embargos de Declaração,15162,3,,Embargos de declaração acolhidos,Sim,CPC; CPP; CLT; CPPM,1.022 (CPC); 620 (CPP); 897-A (CLT); 542 (CPPM),,"Movimento a ser utilizado para indicar o acolhimento dos embargos de declaração contra decisão, conforme previsto nos arts. 1.022 do CPC, 620 do CPP, 897-A da CLT e 542 do CPPM.",2022-09-20 14:30:40,,,,2,M,78_Tabela_Movimentos_STJ.sql,1 > 3 > 15162,1 > Decisão > Acolhimento de Embargos de Declaração
Acolhimento de exceção,133,3,,Decisão ou Despacho Acolhimento de exceção,Sim,,,,Marca a decisão que resolve a exceção deduzida SEM A FORMAÇÃO DE AUTOS SUPLEMENTARES. São os casos de decisão nos próprios autos.,2008-09-30 15:52:47,2019-07-04 14:25:16,,,2,M,78_Tabela_Movimentos_STJ.sql,1 > 3 > 133,1 > Decisão > Acolhimento de exceção
de pré-executividade,335,133,,Acolhida a exceção de pré-executividade,Sim,,,,"Deve ser usado apenas quando não gera a extinção da execução. Se gerar, usar extinção da execução, em julgamento. Também tem registro na doutrina como exceção de executividade.",2008-09-30 15:52:47,,,,3,M,78_Tabela_Movimentos_STJ.sql,1 > 3 > 133 > 335,1 > Decisão > Acolhimento de exceção > de pré-executividade
Impedimento ou Suspeição,940,133,,Acolhida a exceção de Impedimento ou Suspeição,Sim,CPC 2015,146,,"Solução da exceção de impedimento ou de suspeição que a reconhece, quando formulada nos próprios autos principais. Nos casos em que se forma incidente em autos apartados, sugere-se registrar este movimento após a solução definitiva do incidente. Quando o juiz afirma o impedimento ou suspeição, registrar em Decisão ou Despacho;Declaração. Art. 146. No prazo de 15 (quinze) dias, a contar do conhecimento do fato, a parte alegará o impedimento ou a suspeição, em petição específica dirigida ao juiz do processo, na qual indicará o fundamento da recusa, podendo instruí-la com documentos em que se fundar a alegação e com rol de testemunhas. § 1º Se reconhecer o impedimento ou a suspeição ao receber a petição, o juiz ordenará imediatamente a remessa dos autos a seu substituto legal, caso contrário, determinará a autuação em apartado da petição e, no prazo de 15 (quinze) dias, apresentará suas razões, acompanhadas de documentos e de rol de testemunhas, se houver, ordenando a remessa do incidente ao tribunal.",2008-09-30 15:52:47,,,,3,M,78_Tabela_Movimentos_STJ.sql,1 > 3 > 133 > 940,1 > Decisão > Acolhimento de exceção > Impedimento ou Suspeição
Incompetência,371,133,,Acolhida a exceção de Incompetência,Sim,,,,"Solução da exceção de incompetência que a reconhece, quando formulada nos próprios autos principais. Normalmente se refere aos casos de incompetência absoluta (em razão da pessoa ou da matéria). Nos casos em que se forma incidente em autos apartados, a solução deve ser registrada no grupo Julgamento;Com resolução do mérito. Quando o juiz afirma a competência, registrar como Decisão ou Despacho;Rejeição.",2008-09-30 15:52:47,,,,3,M,78_Tabela_Movimentos_STJ.sql,1 > 3 > 133 > 371,1 > Decisão > Acolhimento de exceção > Incompetência
Acolhimento em Parte de Embargos de Declaração,15163,3,,Embargos de declaração acolhidos em parte,Sim,CPC; CPP; CLT; CPPM,1.022 (CPC); 620 (CPP); 897-A (CLT); 542 (CPPM),,"Solução específica para os embargos de declaração, para os casos em que são parcialmente acolhidos os pedidos de declaração, ou os casos em que são parcialmente conhecidos e na parte conhecida são acolhidos parte ou todos os pedidos de declaração remanescentes.",2022-09-20 14:39:56,,,,2,M,78_Tabela_Movimentos_STJ.sql,1 > 3 > 15163,1 > Decisão > Acolhimento em Parte de Embargos de Declaração
Acolhimento em Parte de Exceção de Pré-Executividade,15366,3,,Acolhida em parte a exceção de pré-executividade,Sim,,,,Solução específica para a exceção de pré-executividade quando parcialmente acolhida.,2024-05-09 14:42:26,,,,2,M,78_Tabela_Movimentos_STJ.sql,1 > 3 > 15366,1 > Decisão > Acolhimento em Parte de Exceção de Pré-Executividade
Admissão,206,3,,Decisão ou Despacho Admissão,Sim,,,,Indica a decisão que admite o recurso de terceiro nível. Outros recursos devem ser registrados em Decisão ou Despacho;Recebimento ou Decisão ou Despacho;Não-Recebimento.,2008-09-30 15:52:47,2019-07-04 14:28:29,,,2,M,78_Tabela_Movimentos_STJ.sql,1 > 3 > 206,1 > Decisão > Admissão
