"situacao";"dat_alteracao";"codigo";"descricao";"sigla";"natureza";"cod_pai";"cod_filhos";"cod_filhos_ativos";"nivel"
"A";"";"2";"PROCESSO CÍVEL E DO TRABALHO";"ProcCivTrab";"";"";"158,175,197,214,1106,12133,159,165,169,1068,1111,1116,1117,12079,12154,12247,166,167,170,171,172,173,1118,990,991,992,993,994,15187,1112,1114,12251,83,176,177,178,179,180,181,182,183,186,188,190,191,192,193,194,195,196,1233,1289,1723,1725,1726,12083,12084,198,199,200,207,211,212,213,460,1071,1271,1728,10942,202,203,204,206,1208,14774,208,210,1689,1006,1007,1008,1009,1209,1267,1685,11027,11882,11886,12760,1000,1001,1002,1003,1004,1005,11400,14775,215,237,257,1070,12137,12232,15167,15309,216,218,221,224,228,230,231,232,233,234,236,457,1285,1702,12075,12080,12081,12085,12087,12119,12153,14991,1230,1231,1232,238,239,240,241,242,251,1701,12139,12357,258,261,264,12082,1072,1145,12132,12391,15532,15533,15534,15535,150,155,1107,151,152,153,154,12088,156,157,229,10980,10981,12078,12231,12246,15160,15161,15215,15430,15731,15732,7,22,26,436,1067,14695,15620,27,50,62,28,29,30,31,32,34,35,37,38,39,40,41,44,45,46,47,48,49,1707,1709,12086,12375,12376,12541,12761,12763,12764,14677,51,52,53,54,55,56,57,58,59,60,61,1122,1294,1295,12226,12227,12228,12229,12233,12234,12369,12371,12372,12373,12374,12762,63,64,65,66,69,72,74,76,77,79,80,81,82,84,85,86,87,89,90,91,92,93,94,95,96,97,98,99,100,107,108,110,111,112,113,114,115,118,119,120,121,122,123,124,127,128,129,134,135,136,137,138,140,141,142,143,144,145,244,1124,1269,1296,1297,1682,1683,11397,11555,11556,12138,12370,12389,12390,14671,14990,15159,15217,15543,976,980,985,986,987,988,1125,1126,1202,12134,12135";"158,175,197,214,1106,12133,159,165,169,1068,1111,1116,1117,12079,12154,12247,166,167,170,171,172,173,1118,990,991,992,993,994,15187,1112,1114,12251,83,176,177,178,179,180,181,182,183,186,188,190,191,192,193,194,195,196,1233,1289,1723,1725,1726,12083,12084,198,199,200,207,211,212,213,460,1071,1271,1728,10942,202,203,204,206,1208,14774,208,210,1689,1006,1007,1008,1009,1209,1267,1685,11027,11882,11886,12760,1000,1001,1002,1003,1004,1005,11400,14775,215,237,257,1070,12137,12232,15167,15309,216,218,221,224,228,230,231,232,233,234,236,457,1285,1702,12075,12080,12081,12085,12087,12119,12153,14991,1230,1231,1232,238,239,240,241,242,251,1701,12139,12357,258,261,264,12082,1072,1145,12132,12391,15532,15533,15534,15535,150,155,1107,151,152,153,154,12088,156,157,229,10980,10981,12078,12231,12246,15160,15161,15215,15430,15731,15732,7,22,26,436,1067,14695,15620,27,50,62,28,29,30,31,32,34,35,37,38,39,40,41,44,45,46,47,48,49,1707,1709,12086,12375,12376,12541,12761,12763,12764,14677,51,52,53,54,55,56,57,58,59,60,61,1122,1294,1295,12226,12227,12228,12229,12233,12234,12369,12371,12372,12373,12374,12762,63,64,65,66,69,72,74,76,77,79,80,81,82,84,85,86,87,89,90,91,92,93,94,95,96,97,98,99,100,107,108,110,111,112,113,114,115,118,119,120,121,122,123,124,127,128,129,134,135,136,137,138,140,141,142,143,144,145,244,1124,1269,1296,1297,1682,1683,11397,11555,11556,12138,12370,12389,12390,14671,14990,15159,15217,15543,976,980,985,986,987,988,1125,1126,1202,12134,12135";"1"
"A";"";"5";"SUPERIOR TRIBUNAL DE JUSTIÇA";"STJ";"";"";"1013,1015,1016,1017,1018,1019,1020,1021,1022,1023,1024,1025,1026,1027,1028,1029,1030,1031,1032,1033,1034,1035,1036,1037,1038,1040,1042,1044,1045,1046,1047,1049,1053,1054,1057,1062,1063,1064,1066,1137,1669,1670,1671,1672,1673,1674,1675,1677,1678,1679,1720,1721,1722,11881,11956,12118,12250,15224,15228";"1013,1016,1017,1018,1019,1020,1021,1022,1023,1024,1025,1026,1027,1028,1029,1030,1031,1032,1033,1034,1036,1038,1040,1042,1044,1045,1046,1047,1049,1053,1054,1057,1062,1063,1064,1137,1669,1670,1671,1672,1673,1674,1675,1677,1678,1679,1720,1721,1722,11881,11956,12118,15224,15228";"1"
"A";"2018-11-19 11:55:45";"7";"Procedimento Comum Cível";"ProceComCiv";"Conhecimento";"1107.0";"";"";"4"
"A";"";"26";"Procedimentos Especiais";"ProEsp";"";"1107.0";"27,50,62,28,29,30,31,32,34,35,37,38,39,40,41,44,45,46,47,48,49,1707,1709,12086,12375,12376,12541,12761,12763,12764,14677,51,52,53,54,55,56,57,58,59,60,61,1122,1294,1295,12226,12227,12228,12229,12233,12234,12369,12371,12372,12373,12374,12762,63,64,65,66,69,72,74,76,77,79,80,81,82,84,85,86,87,89,90,91,92,93,94,95,96,97,98,99,100,107,108,110,111,112,113,114,115,118,119,120,121,122,123,124,127,128,129,134,135,136,137,138,140,141,142,143,144,145,244,1124,1269,1296,1297,1682,1683,11397,11555,11556,12138,12370,12389,12390,14671,14990,15159,15217,15543";"27,50,62,28,29,30,31,32,34,35,37,38,39,40,41,44,45,46,47,48,49,1707,1709,12086,12375,12376,12541,12761,12763,12764,14677,51,52,53,54,55,56,57,58,59,60,61,1122,1294,1295,12226,12227,12228,12229,12233,12234,12369,12371,12372,12373,12374,12762,63,64,65,66,69,72,74,76,77,79,80,81,82,84,85,86,87,89,90,91,92,93,94,95,96,97,98,99,100,107,108,110,111,112,113,114,115,118,119,120,121,122,123,124,127,128,129,134,135,136,137,138,140,141,142,143,144,145,244,1124,1269,1296,1297,1682,1683,11397,11555,11556,12138,12370,12389,12390,14671,14990,15159,15217,15543";"4"
"A";"";"27";"Procedimentos Especiais de Jurisdição Contenciosa";"PEJC";"";"26.0";"28,29,30,31,32,34,35,37,38,39,40,41,44,45,46,47,48,49,1707,1709,12086,12375,12376,12541,12761,12763,12764,14677";"30,31,32,34,37,38,39,40,45,46,47,48,49,1707,1709,12086,12375,12376,12541,12761,12763,12764,14677";"5"
"A";"";"30";"Arrolamento Comum";"ArrCom";"Conhecimento";"27.0";"";"";"6"
"A";"";"31";"Arrolamento Sumário";"ArrSum";"Conhecimento";"27.0";"";"";"6"
"A";"";"32";"Consignação em Pagamento";"ConPag";"Conhecimento";"27.0";"";"";"6"
"A";"";"34";"Demarcação / Divisão";"DemDiv";"Conhecimento";"27.0";"";"";"6"
"A";"2018-11-19 11:58:21";"37";"Embargos de Terceiro Cível";"ETCiv";"Conhecimento";"27.0";"";"";"6"
"A";"";"38";"Habilitação";"Habili";"Conhecimento";"27.0";"";"";"6"
"A";"";"39";"Inventário";"Invent";"Conhecimento";"27.0";"";"";"6"
"A";"";"40";"Monitória";"Monito";"Conhecimento";"27.0";"";"";"6"
"A";"2016-03-14 15:12:07";"45";"Ação de Exigir Contas";"AEC";"Conhecimento";"27.0";"";"";"6"
"A";"2020-07-03 08:49:18";"46";"Restauração de Autos Cível";"ResAutCiv";"Restauração";"27.0";"";"";"6"
"A";"";"47";"Ação Rescisória";"AR";"Conhecimento";"27.0";"";"";"6"
"A";"";"48";"Sobrepartilha";"Sobrep";"Conhecimento";"27.0";"";"";"6"
"A";"";"49";"Usucapião";"Usucap";"Conhecimento";"27.0";"";"";"6"
"A";"";"50";"Procedimentos Especiais de Jurisdição Voluntária";"PEJV";"";"26.0";"51,52,53,54,55,56,57,58,59,60,61,1122,1294,1295,12226,12227,12228,12229,12233,12234,12369,12371,12372,12373,12374,12762";"51,52,53,54,55,57,58,59,60,1294,12226,12227,12228,12229,12233,12371,12372,12374,12762";"5"
"A";"";"51";"Abertura, Registro e Cumprimento de Testamento";"ARCT";"Conhecimento";"50.0";"";"";"6"
"A";"";"52";"Alienação Judicial de Bens";"AlJuBe";"Conhecimento";"50.0";"";"";"6"
"A";"";"53";"Arrecadação das Coisas Vagas";"ArCoVa";"Conhecimento";"50.0";"";"";"6"
"A";"";"54";"Confirmação de Testamento";"ConTes";"Conhecimento";"50.0";"";"";"6"
"A";"";"55";"Declaração de Ausência";"DecAus";"Conhecimento";"50.0";"";"";"6"
"A";"";"57";"Herança Jacente";"HerJac";"Conhecimento";"50.0";"";"";"6"
"A";"2021-03-30 13:51:44";"58";"Interdição/Curatela";"Interd";"Conhecimento";"50.0";"";"";"6"
"A";"";"59";"Organização e Fiscalização de Fundação";"OrFiFu";"Conhecimento";"50.0";"";"";"6"
"A";"";"60";"Separação Consensual";"SepCon";"Conhecimento";"50.0";"";"";"6"
"A";"";"62";"Procedimentos Regidos por Outros Códigos, Leis Esparsas e Regimentos";"PROCLER";"";"26.0";"63,64,65,66,69,72,74,76,77,79,80,81,82,84,85,86,87,89,90,91,92,93,94,95,96,97,98,99,100,107,108,110,111,112,113,114,115,118,119,120,121,122,123,124,127,128,129,134,135,136,137,138,140,141,142,143,144,145,244,1124,1269,1296,1297,1682,1683,11397,11555,11556,12138,12370,12389,12390,14671,14990,15159,15217,15543";"63,64,65,66,69,74,81,82,84,85,86,87,89,90,91,92,93,94,95,96,100,107,108,110,111,113,114,115,118,119,120,121,122,123,124,128,129,134,135,136,137,138,140,142,143,1269,1296,1297,1682,1683,11397,11555,11556,12138,12370,12389,14671,15159,15217,15543";"5"
"A";"";"63";"Ação Civil Coletiva";"ACC";"Conhecimento";"62.0";"";"";"6"
"A";"";"64";"Ação Civil de Improbidade Administrativa";"ACIA";"Conhecimento";"62.0";"";"";"6"
"A";"2020-07-14 13:01:28";"65";"Ação Civil Pública";"ACPCiv";"Conhecimento";"62.0";"";"";"6"
"A";"";"66";"Ação Popular";"APop";"Conhecimento";"62.0";"";"";"6"
"A";"";"69";"Alimentos - Lei Especial Nº 5.478/68";"AlEsp";"Conhecimento";"62.0";"";"";"6"
"A";"";"74";"Alvará Judicial - Lei 6858/80";"AlvJud";"Conhecimento";"62.0";"";"";"6"
"A";"";"81";"Busca e Apreensão em Alienação Fiduciária";"BAAF";"Conhecimento";"62.0";"";"";"6"
"A";"";"82";"Cancelamento de Naturalização";"CanNat";"Conhecimento";"62.0";"";"";"6"
"A";"";"83";"Cautelar Fiscal";"CauFis";"Cautelar";"175.0";"";"";"3"
"A";"";"84";"Cobrança de Cédula de Crédito Industrial";"CCCI";"Conhecimento";"62.0";"";"";"6"
"A";"";"85";"Compromisso Arbitral";"ComArb";"Conhecimento";"62.0";"";"";"6"
"A";"";"86";"Consignatória de Aluguéis";"ConAlu";"Conhecimento";"62.0";"";"";"6"
"A";"";"87";"Conversão de Separação Judicial em Divórcio";"CSJD";"Conhecimento";"62.0";"";"";"6"
"A";"";"88";"Correição Parcial ou Reclamação Correicional";"CorPar";"Administrativa";"1198.0";"";"";"2"
"A";"";"89";"Depósito da Lei 8. 866/94";"Depos";"Conhecimento";"62.0";"";"";"6"
"A";"";"90";"Desapropriação";"Desapr";"Conhecimento";"62.0";"";"";"6"
"A";"";"91";"Desapropriação Imóvel Rural por Interesse Social";"DIRIS";"Conhecimento";"62.0";"";"";"6"
"A";"";"92";"Despejo";"Despej";"Conhecimento";"62.0";"";"";"6"
"A";"";"93";"Despejo por Falta de Pagamento";"DeFaPa";"Conhecimento";"62.0";"";"";"6"
"A";"";"94";"Despejo por Falta de Pagamento Cumulado Com Cobrança";"DFPCC";"Conhecimento";"62.0";"";"";"6"
"A";"2025-04-01 15:03:26";"95";"Ação Direta de Inconstitucionalidade";"ADI";"Conhecimento";"62.0";"";"";"6"
"A";"";"96";"Discriminatória";"Discri";"Conhecimento";"62.0";"";"";"6"
"A";"";"100";"Dúvida";"Duvida";"Conhecimento";"62.0";"";"";"6"
"A";"";"107";"Expropriação da Lei 8.257/91";"Exprop";"Conhecimento";"62.0";"";"";"6"
"A";"";"108";"Falência de Empresários, Sociedades Empresáriais, Microempresas e Empresas de Pequeno Porte";"FESEMEPP";"Conhecimento";"62.0";"";"";"6"
"A";"2021-05-28 15:27:28";"110";"Habeas Data Cível";"HDCiv";"Conhecimento";"62.0";"";"";"6"
"A";"";"111";"Habilitação de Crédito";"HabCre";"Conhecimento";"62.0";"";"";"6"
"A";"";"113";"Imissão na Posse";"ImiPos";"Conhecimento";"62.0";"";"";"6"
"A";"";"114";"Impugnação de Crédito";"ImpCre";"Conhecimento";"62.0";"";"";"6"
"A";"";"115";"Inquérito Extrajudicial";"InqExt";"Conhecimento";"62.0";"";"";"6"
"A";"";"118";"Mandado de Injunção";"MI";"Conhecimento";"62.0";"";"";"6"
"A";"";"119";"Mandado de Segurança Coletivo";"MSCol";"Conhecimento";"62.0";"";"";"6"
"A";"2018-06-25 14:14:31";"120";"Mandado de Segurança Cível";"MSCiv";"Conhecimento";"62.0";"";"";"6"
"A";"";"121";"Naturalização";"Natura";"Conhecimento";"62.0";"";"";"6"
"A";"";"122";"Opção de Nacionalidade";"OpcNac";"Conhecimento";"62.0";"";"";"6"
"A";"";"123";"Averiguação de Paternidade";"AvePat";"Conhecimento";"62.0";"";"";"6"
"A";"";"124";"Pedido de Resposta ou Retificação da Lei de Imprensa";"PRRLI";"Conhecimento";"62.0";"";"";"6"
"A";"";"128";"Recuperação Extrajudicial";"RecExt";"Conhecimento";"62.0";"";"";"6"
"A";"";"129";"Recuperação Judicial";"RecJud";"Conhecimento";"62.0";"";"";"6"
"A";"";"134";"Registro Torrens";"RegTor";"Conhecimento";"62.0";"";"";"6"
"A";"";"135";"Relatório Falimentar";"RelFal";"Conhecimento";"62.0";"";"";"6"
"A";"";"136";"Remição do Imóvel Hipotecado";"ReImHi";"Conhecimento";"62.0";"";"";"6"
"A";"";"137";"Renovatória de Locação";"RenLoc";"Conhecimento";"62.0";"";"";"6"
"A";"";"138";"Restituição de Coisa ou Dinheiro na Falência do Devedor Empresário";"RCDFDE";"Conhecimento";"62.0";"";"";"6"
"A";"";"140";"Revisional de Aluguel";"RevAlu";"Conhecimento";"62.0";"";"";"6"
"A";"";"142";"Sonegados";"Sonega";"Conhecimento";"62.0";"";"";"6"
"A";"";"143";"Suprimento de Idade e/ou Consentimento";"SIEC";"Conhecimento";"62.0";"";"";"6"
"A";"";"150";"Procedimento de Liquidação";"ProLiq";"";"1106.0";"151,152,153,154,12088";"151,152,153,154";"3"
"A";"";"151";"Liquidação por Arbitramento";"LiqArb";"Cumprimento de Sentença/Decisão";"150.0";"";"";"4"
"A";"2017-05-05 15:19:38";"152";"Liquidação de Sentença pelo Procedimento Comum";"LiqProcedCom";"Cumprimento de Sentença/Decisão";"150.0";"";"";"4"
"A";"";"153";"Liquidação Provisória por Arbitramento";"LiPrAr";"Cumprimento de Sentença/Decisão";"150.0";"";"";"4"
"A";"2017-05-05 15:20:24";"154";"Liquidação Provisória de Sentença pelo Procedimento Comum";"LiPrPorcedCom";"Cumprimento de Sentença/Decisão";"150.0";"";"";"4"
"A";"";"155";"Procedimento de Cumprimento de Sentença/Decisão";"MPCA";"";"1106.0";"156,157,229,10980,10981,12078,12231,12246,15160,15161,15215,15430,15731,15732";"156,157,10980,12078,12231,12246,15160,15161,15215,15430,15731,15732";"3"
"A";"";"156";"Cumprimento de sentença";"CumSen";"Cumprimento de Sentença/Decisão";"155.0";"";"";"4"
"A";"";"157";"Cumprimento Provisório de Sentença";"CumPrSe";"Cumprimento de Sentença/Decisão";"155.0";"";"";"4"
"A";"2016-05-03 14:19:08";"158";"Processo de Execução";"ProcExe";"";"2.0";"159,165,169,1068,1111,1116,1117,12079,12154,12247,166,167,170,171,172,173,1118,990,991,992,993,994,15187,1112,1114,12251";"159,165,169,1068,1116,1117,12079,12154,12247,166,167,170,171,172,173,1118,990,991,992,993,994,15187";"2"
"A";"";"159";"Execução de Título Extrajudicial";"ExTiEx";"Execução";"158.0";"12079,12154,12247";"12079,12154,12247";"3"
"A";"";"165";"Insolvência Civil";"InsCiv";"Execução";"158.0";"166,167";"166,167";"3"
"A";"";"166";"Insolvência Requerida pelo Credor";"IRPC";"Execução";"165.0";"";"";"4"
"A";"";"167";"Insolvência Requerida pelo Devedor ou pelo Espólio";"IRPDPE";"Execução";"165.0";"";"";"4"
"A";"";"169";"Embargos";"Emb";"";"158.0";"170,171,172,173,1118";"172,1118";"3"
"A";"";"172";"Embargos à Execução";"EE";"Conhecimento";"169.0";"";"";"4"
"A";"";"175";"Processo Cautelar";"ProcCau";"";"2.0";"83,176,177,178,179,180,181,182,183,186,188,190,191,192,193,194,195,196,1233,1289,1723,1725,1726,12083,12084";"83,1233";"2"
"A";"";"197";"Recursos";"Rec";"";"2.0";"198,199,200,207,211,212,213,460,1071,1271,1728,10942,202,203,204,206,1208,14774,208,210,1689,1006,1007,1008,1009,1209,1267,1685,11027,11882,11886,12760,1000,1001,1002,1003,1004,1005,11400,14775";"198,199,200,207,211,212,213,460,1071,1271,1728,10942,202,203,204,206,1208,14774,208,210,1689,1006,1007,1008,1009,1209,1267,1685,11027,11882,11886,12760,1000,1001,1002,1003,1004,1005,11400,14775";"2"
"A";"2018-06-25 14:20:53";"198";"Apelação Cível";"ApCiv";"Recursal";"197.0";"";"";"3"
"A";"2018-06-25 14:20:11";"199";"Remessa Necessária Cível";"RemNecCiv";"Recurso";"197.0";"";"";"3"
"A";"";"200";"Agravos";"Agr";"";"197.0";"202,203,204,206,1208,14774";"202,204,206,1208";"3"
"A";"";"202";"Agravo de Instrumento";"AI";"Recursal";"200.0";"";"";"4"
"A";"";"204";"Agravo de Instrumento em Recurso Extraordinário";"AIRE";"Recurso Superior";"200.0";"";"";"4"
"A";"2018-11-19 13:58:07";"206";"Agravo Regimental Cível";"AgRCiv";"Recurso Interno";"200.0";"";"";"4"
"A";"";"207";"Embargos";"Emb";"";"197.0";"208,210,1689";"210,1689";"3"
"A";"";"210";"Embargos Infringentes na Execução Fiscal";"EIfEFis";"Recurso Interno";"207.0";"";"";"4"
"A";"2018-11-19 13:59:12";"211";"Recurso Ordinário Cível";"ROCiv";"Recurso Superior";"197.0";"";"";"3"
"A";"";"212";"Recurso Extraordinário";"RE";"Recurso Superior";"197.0";"";"";"3"
"A";"";"213";"Recurso Especial";"REsp";"Recurso Superior";"197.0";"";"";"3"
"A";"";"214";"Outros Procedimentos";"OutPro";"";"2.0";"215,237,257,1070,12137,12232,15167,15309,216,218,221,224,228,230,231,232,233,234,236,457,1285,1702,12075,12080,12081,12085,12087,12119,12153,14991,1230,1231,1232,238,239,240,241,242,251,1701,12139,12357,258,261,264,12082,1072,1145,12132,12391,15532,15533,15534,15535";"215,237,257,1070,12137,15167,15309,216,218,221,224,228,230,231,232,233,234,236,457,1285,1702,12075,12080,12081,12085,12087,12119,12153,14991,1230,1231,1232,238,239,240,241,242,251,1701,12139,12357,258,261,264,12082,1072,1145,12132,12391,15532,15533,15534,15535";"2"
"A";"";"215";"Incidentes";"Inc";"Incidental";"214.0";"216,218,221,224,228,230,231,232,233,234,236,457,1285,1702,12075,12080,12081,12085,12087,12119,12153,14991,1230,1231,1232";"216,221,228,234,236,457,12075,12080,12081,12085,12087,12119,12153,14991";"3"
"A";"2018-11-19 11:42:17";"216";"Incidente De Arguição de Inconstitucionalidade Cível";"ArgIncCiv";"Incidental";"215.0";"";"";"4"
"A";"2018-11-19 11:38:23";"221";"Conflito de competência cível";"CCCiv";"Incidental";"215.0";"";"";"4"
"A";"2018-11-19 11:39:48";"228";"Exibição de Documento ou Coisa Cível";"ExDoCoCiv";"Incidental";"215.0";"";"";"4"
"A";"";"234";"Remoção de Inventariante";"RemInv";"Incidente";"215.0";"";"";"4"
"A";"";"236";"Oposição";"Oposic";"Incidente";"215.0";"";"";"4"
"A";"";"237";"Atos e expedientes";"AtoExp";"";"214.0";"238,239,240,241,242,251,1701,12139,12357";"238,239,240,241,242,251,1701,12139,12357";"3"
