sequencialPrecedente,tipoPrecedente,numeroPrecedente,Processo,numeroRegistro,ministroRelator,leadingCase,dataAfetacao,dataPublicacaoAfetacao,observacaoAfetacao,NOME_MINISTRO_AFETACAO,dataVistaMPF,dataJulgamento,dataPbulicacaoAcordao,processoSTF,dataRemessaSTF,situacaoProcessoSTF,tribunalOrigem,siglaTribunalOrigem,siglaRegiaoOrigem,origemUF,tipoJusticaOrigem,quantidadeProcessosSuspensoNaOrigem,dataPublicacaoEmbargosDeDeclaração,Desafetação,Embargos de Divergência
1601,Controvérsia,1,REsp 1633613,201602784986,,N,,,,,2016-12-01,,,,,,Tribunal de Justiça do Estado de Santa Catarina,TJSC      ,SU,SC,Justiça Estadual,0,,,
1601,Controvérsia,1,REsp 1633614,201602785239,,N,,,,,2016-12-01,,,,,,Tribunal de Justiça do Estado de Santa Catarina,TJSC      ,SU,SC,Justiça Estadual,0,,,
1601,Controvérsia,1,REsp 1633749,201602794910,,N,,,,,2016-12-01,,,,,,Tribunal de Justiça do Estado de Santa Catarina,TJSC      ,SU,SC,Justiça Estadual,0,,,
1601,Controvérsia,1,REsp 1680270,201701540687,,S,,,,,,,,,,,Tribunal de Justiça do Estado de Santa Catarina,TJSC      ,SU,SC,Justiça Estadual,0,,,
1601,Controvérsia,1,REsp 1680773,201701567880,,N,,,,,,,,,,,Tribunal de Justiça do Estado de Santa Catarina,TJSC      ,SU,SC,Justiça Estadual,0,,,
1601,Controvérsia,1,REsp 1680780,201701567932,,N,,,,,,,,,,,Tribunal de Justiça do Estado de Santa Catarina,TJSC      ,SU,SC,Justiça Estadual,0,,,
1601,Controvérsia,1,REsp 1680782,201701568032,,N,,,,,,,,,,,Tribunal de Justiça do Estado de Santa Catarina,TJSC      ,SU,SC,Justiça Estadual,0,,,
1602,Controvérsia,2,REsp 1636154,201602901141,,N,,,,,2016-12-01,,,,,,Tribunal Regional Federal da 4ª Região,TRF4      ,SU,RS,Justiça Federal,4042,,,
1602,Controvérsia,2,REsp 1639487,201603089308,,N,,,,,2016-12-12,,,,,,Tribunal Regional Federal da 4ª Região,TRF4      ,SU,RS,Justiça Federal,4042,,,
1602,Controvérsia,2,REsp 1639480,201603092078,,N,,,,,2016-12-01,,,,,,Tribunal Regional Federal da 4ª Região,TRF4      ,SU,RS,Justiça Federal,4042,,,
1602,Controvérsia,2,AREsp 1976805,201603095921,,N,,,,,2016-12-12,,,,,,Tribunal Regional Federal da 4ª Região,TRF4      ,SU,RS,Justiça Federal,4042,,,
1602,Controvérsia,2,REsp 1682034,201701622017,,N,,,,,2017-08-07,,,,,,Tribunal de Justiça do Estado do Paraná,TJPR      ,SU,PR,Justiça Estadual,4042,,,
1602,Controvérsia,2,REsp 1689339,201702019710,,S,,,,,2017-08-24,,,,,,Tribunal de Justiça do Estado do Paraná,TJPR      ,SU,PR,Justiça Estadual,4042,,,
1602,Controvérsia,2,REsp 1689160,201702019800,,N,,,,,2017-08-23,,,,,,Tribunal de Justiça do Estado do Paraná,TJPR      ,SU,PR,Justiça Estadual,4042,,,
1602,Controvérsia,2,REsp 1730267,201800605190,,N,,,,,2018-03-23,,,,,,Tribunal de Justiça do Estado do Rio Grande do Sul,TJRS      ,SU,RS,Justiça Estadual,4042,,,
1603,Controvérsia,3,REsp 1658517,201603059545,,N,,,,,2017-02-20,,,,,,Tribunal de Justiça do Estado do Pará,TJPA      ,NO,PA,Justiça Estadual,0,,,
1603,Controvérsia,3,REsp 1641011,201603138424,,S,,,,,2016-12-09,,,,,,Tribunal de Justiça do Estado do Pará,TJPA      ,NO,PA,Justiça Estadual,0,,,
1604,Controvérsia,4,REsp 1641579,201603185892,,S,,,,,2016-12-09,,,,,,Tribunal Regional Federal da 3ª Região,TRF3      ,SE,SP,Justiça Federal,0,,,
1604,Controvérsia,4,REsp 1641580,201603186019,,N,,,,,2016-12-09,,,,,,Tribunal Regional Federal da 3ª Região,TRF3      ,SE,SP,Justiça Federal,0,,,
1604,Controvérsia,4,REsp 1643145,201603242769,,N,,,,,2017-05-23,,,,,,Tribunal Regional Federal da 3ª Região,TRF3      ,SE,SP,Justiça Federal,0,,,
1604,Controvérsia,4,REsp 1643902,201603278342,,N,,,,,2016-12-23,,,,,,Tribunal Regional Federal da 3ª Região,TRF3      ,SE,SP,Justiça Federal,0,,,
1621,Controvérsia,5,REsp 1648238,201700104338,,S,,,,,2017-02-07,,,,,,Tribunal Regional Federal da 4ª Região,TRF4      ,SU,RS,Justiça Federal,0,,,
